"mz1ppm","matches1ppm"
151,43
153,24
154,7
155,32
157,49
159,28
161,32
163,55
164,38
165,46
167,35
168,66
169,86
170,8
171,50
172,7
173,22
174,6
175,39
176,11
177,41
178,30
179,43
180,18
181,58
182,2
183,44
184,38
185,33
186,8
187,16
188,1
189,30
190,34
191,48
192,20
193,47
194,26
195,45
196,8
197,53
198,9
199,44
200,7
201,12
202,7
203,25
204,3
205,62
206,5
207,34
208,3
209,6
210,7
211,28
212,6
213,29
214,29
215,13
216,6
217,6
218,8
219,25
220,12
221,21
222,9
223,15
224,1
225,27
226,7
227,16
228,12
229,11
230,5
231,10
232,5
233,8
234,3
235,17
236,6
237,18
238,4
239,18
240,8
241,21
242,8
243,10
244,1
245,6
246,10
247,7
248,3
249,21
250,3
251,5
252,2
253,15
254,1
255,6
256,8
257,13
258,2
259,8
260,2
261,3
262,4
263,5
264,2
265,13
266,3
267,9
268,3
269,10
270,5
271,4
272,1
273,3
274,8
275,2
276,4
277,9
278,5
279,4
280,6
281,12
282,6
283,6
284,5
285,8
286,3
287,3
288,2
289,4
290,2
291,4
292,4
293,6
294,5
295,7
296,3
297,4
298,3
299,5
300,7
301,2
302,2
303,5
304,2
305,3
306,3
307,2
308,2
309,5
310,2
311,4
312,4
313,3
314,2
315,2
316,2
317,1
318,2
319,4
320,1
321,5
322,4
323,3
324,1
325,4
326,3
327,2
328,1
329,3
330,1
331,3
332,2
333,1
334,1
335,2
336,1
337,7
338,2
339,4
340,8
341,2
342,4
343,3
344,3
345,3
346,3
347,2
348,2
349,2
350,1
351,2
352,2
353,3
354,1
355,2
356,3
357,3
358,1
359,2
360,1
361,4
362,1
363,1
364,1
365,3
366,1
367,5
368,4
369,1
370,5
371,2
372,2
373,2
374,2
375,2
376,1
377,2
378,4
379,1
380,1
381,1
382,2
383,2
384,1
385,3
386,2
387,1
388,1
389,2
390,1
391,2
392,1
393,3
394,2
395,2
396,2
397,1
398,1
399,1
400,1
401,2
402,1
403,1
404,2
405,1
406,1
407,1
408,2
409,2
410,3
411,2
412,1
413,3
414,1
415,2
416,3
417,2
418,2
419,1
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,1
428,1
429,2
430,4
431,2
432,1
433,2
434,1
435,2
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,2
445,1
446,1
447,2
448,1
449,2
450,2
451,2
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,2
460,1
461,1
462,1
463,1
464,3
465,1
466,1
467,1
468,1
469,2
470,1
471,2
472,1
473,1
474,3
475,1
476,1
477,1
478,1
479,2
480,2
481,2
482,2
483,1
484,1
485,2
486,1
487,2
488,2
489,2
490,1
491,3
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,3
505,2
506,1
507,1
508,1
509,2
510,3
511,2
512,3
513,1
515,2
516,1
517,2
518,1
519,1
520,2
521,1
522,1
523,1
525,2
526,1
527,2
528,1
529,2
530,1
531,2
532,1
533,1
534,1
535,1
536,1
537,2
538,1
539,1
540,1
541,2
542,1
543,1
544,1
545,2
546,1
547,3
548,2
549,1
550,2
551,1
552,1
553,3
554,2
555,1
557,1
558,2
559,1
560,1
561,1
562,2
563,1
564,1
565,3
566,1
567,1
568,1
569,1
570,1
571,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,2
581,1
582,1
583,1
584,1
585,2
586,2
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
603,1
605,1
606,2
607,1
608,1
609,1
610,1
611,2
612,1
613,1
614,1
615,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,2
632,1
633,1
634,1
635,2
636,3
637,1
638,1
639,1
640,1
641,1
642,1
643,2
645,1
647,2
648,1
649,3
650,1
652,1
653,1
654,1
655,1
656,1
657,1
659,1
661,1
662,1
663,1
664,1
665,2
666,2
667,1
669,1
670,2
671,1
672,1
673,1
674,1
675,1
677,2
678,1
679,1
680,1
681,1
682,2
683,1
684,1
685,1
686,1
687,1
688,1
690,4
691,2
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
707,1
708,1
709,1
712,1
713,1
714,2
715,1
719,1
720,1
722,1
724,1
726,1
728,1
733,2
735,1
736,1
737,1
738,1
740,1
742,1
751,1
752,1
757,1
758,1
761,1
768,1
771,1
772,1
779,1
781,1
783,1
785,1
787,1
792,1
793,1
794,2
796,2
798,2
800,2
801,1
802,1
803,1
805,2
806,2
807,2
808,1
811,1
812,1
815,1
816,1
817,1
827,1
831,1
843,1
847,1
853,1
854,1
859,1
861,1
869,1
870,1
871,1
873,1
878,1
880,1
883,1
884,1
885,1
886,1
888,1
889,1
890,1
892,1
894,1
896,1
897,1
898,1
900,1
901,1
909,1
910,1
911,1
921,1
922,1
929,1
936,1
937,1
938,1
939,1
940,1
944,1
945,2
947,1
949,1
950,1
951,1
953,1
954,1
959,2
983,1
984,1
985,1
