Lock,ppm100,formula,Exp,PPM
121.028955,-9.130005117,C7H5O2,121.02245,-58.20921118
129.05517,-7.903562895,C6H9O3,129.04831,-57.33981831
131.034435,-7.517076451,C5H7O4,131.02751,-56.96975761
135.044605,-7.812201778,C8H7O2,135.03749,-56.68497457
137.02387,-6.714131685,C7H5O3,137.01669,-56.34054855
143.034435,-6.187297464,C6H7O4,143.02699,-55.82571777
145.050085,-5.756610442,C6H9O4,145.04253,-55.80830925
151.03952,-5.76006089,C8H7O3,151.03174,-55.08492082
155.07082,-5.610319945,C8H11O3,155.0629,-54.55571848
165.018785,-5.060013119,C8H5O4,165.01038,-54.20594995
169.08647,-3.666751002,C9H13O3,169.0779,-53.87775852
171.065735,-4.004295762,C8H11O4,,-1000003.157
171.10212,-3.915777586,C9H15O3,,-1000003.156
173.081385,-3.668782649,C8H13O4,,-1000003.12
179.034435,-3.267517798,C9H4O4,,-1000003.016
181.050085,-4.059637791,C9H9O4,,-1000002.983
183.065735,-3.195563836,C9H11O4,,-1000002.95
185.081385,-2.890611663,C9H13O4,,-1000002.918
187.097035,-3.126710588,C9H15O4,,-1000002.886
191.107205,-2.904120767,C12H15O2,,-1000002.826
193.08647,-3.21098746,C11H13O3,,-1000002.797
197.081385,-2.207203821,C10H13O4,,-1000002.74
199.06065,-2.009432275,C9H11O5,,-1000002.713
199.097035,-1.933725113,C10H15O4,,-1000002.712
207.02935,-3.864176141,C10H7O5,,-1000002.608
207.10212,-3.71796269,C12H15O3,,-1000002.607
209.045,-3.587734826,C10H9O5,,-1000002.583
209.081385,-3.515368269,C11H13O4,,-1000002.583
211.06065,-3.316573582,C10H11O5,,-1000002.559
211.097035,-3.244944749,C11H15O4,,-1000002.558
213.0763,-3.050542562,C10H13O5,,-1000002.534
221.081385,-2.872238295,C12H13O4,,-1000002.443
221.11777,-2.803928684,C13H17O3,,-1000002.442
223.097035,-2.622170921,C12H15O4,,-1000002.42
225.14907,-2.75372439,C13H21O3,,-1000002.398
233.154155,-2.594843625,C15H21O2,,-1000002.316
239.128335,-2.028194963,C13H19O4,,-1000002.258
249.14907,-2.08709931,C15H21O3,,-1000002.167
251.09195,-1.593038422,C13H15O5,,-1000002.151
251.128335,-1.931279231,C14H19O4,,-1000002.15
253.143985,-1.718385901,C14H21O4,,-1000002.133
255.232405,-1.39088622,C16H31O2,,-1000002.116
269.1389,-0.928886493,C14H21O5,,-1000002.006
277.18037,-1.154480618,C17H25O3,,-1000001.948
283.263705,-1.253246725,C18H35O2,,-1000001.906
293.175285,-1.142658978,C17H25O4,,-1000001.842
309.1702,-1.455506383,C17H25O5,,-1000001.747
