ï..mz,Final,avg,Common Name,Class,ClassID,CpdID,IUPAC,,,
395.0320231,C16H13ClN4O4,1709674.046,Pigment Yellow 6,Chlorinated Azo Dye,1,1,,,,
431.1397603,C22H28ClN3O3S,676995.0612,,Chlorinated Azo Dye,1,2,,,,
383.0778503,C15H18ClN5O3S,534153.1573,,Chlorinated Azo Dye,1,3,,,,
477.1085917,C23H21ClN6O5,426490.7943,,Chlorinated Azo Dye,1,4,,,,
425.0428467,C17H15ClN4O5,258901.1107,,Chlorinated Azo Dye,1,5,,,,
263.0927124,C8H20Cl2N2,249693.0677,,Chlorinated Azo Dye,1,6,,,,
484.0731201,C20H20Cl2N4O6,235173.2546,,Chlorinated Azo Dye,1,7,,,,
580.133016,C23H25ClN6O10,224368.1077,Disperse Blue 79,Chlorinated Azo Dye,1,8,,,,
395.0134583,C16H12Cl2N4O4,219564.6332,Pigment Yellow 3,Chlorinated Azo Dye,1,9,,,,
389.0661519,C17H15ClN4O5,214985.9985,,Chlorinated Azo Dye,1,10,,,,
363.0421855,C16H16Cl2N4O3,190817.6401,,Chlorinated Azo Dye,1,11,,,,
366.0652161,C16H16Cl2N4O2,177521.9482,,Chlorinated Azo Dye,1,12,,,,
365.0575867,C16H16Cl2N4O2,168285.5918,,Chlorinated Azo Dye,1,13,,,,
360.0630798,C16H13ClN4O4,97691.51161,Pigment Yellow 6,Chlorinated Azo Dye,1,14,,,,
507.1299642,C22H24ClN5O7,92196.33938,,Chlorinated Azo Dye,1,15,,,,
348.0996094,C16H17ClN4O3,78096.81185,Disperse Red 13,Chlorinated Azo Dye,1,16,,,,
355.0370483,C14H13ClN4O3,70850.33895,,Chlorinated Azo Dye,1,17,,,,
327.0417684,C16H10ClN3O3,51526.89832,Pigment Red 6,Chlorinated Azo Dye,1,18,,,,
279.0095825,C13H9ClN2O,39068.87338,,Chlorinated Azo Dye,1,19,,,,
505.1370646,C22H24ClN5O7,33800.11849,,Chlorinated Azo Dye,1,20,,,,
484.0732422,C20H20Cl2N4O6,31053.10409,,Chlorinated Azo Dye,1,21,,,,
432.0166117,C16H15Cl3N4O4,29016.34984,Disperse Brown 1,Chlorinated Azo Dye,1,22,,,,
230.0490621,C12H10ClN3,18874.81734,,Chlorinated Azo Dye,1,23,,,,
460.0948181,C24H17ClN4O4,18789.1696,C.I. Pigment Red 14,Chlorinated Azo Dye,1,24,,,,
373.0708211,C17H15ClN4O4,10629.90163,,Chlorinated Azo Dye,1,25,,,,
526.0263468,C20H20BrClN4O6,345494.6563,,Bromochlorinated Azo Dye,2,1,,,,
306.9860331,C14H8Cl2N2O2,96676.59782,Disperse Violet 28,Chloroanthraquinone Dye,3,1,,,,
273.0914612,C14H17ClN4O,68796.59562,Ethoxazene Hydrochloride,Azo Dye Hydrochloride,4,1,,,,
239.1208191,C14H21ClO,326493.1585,,Color Photographic Material,5,1,,,,
298.0723674,C13H15ClN2O4,154047.9467,,Color Photographic Material,5,2,,,,
243.0329742,C13H11ClN2O2,12559.62748,,Color Photographic Material,5,3,N-(4-amino-5-chloro-2-hydroxyphenyl)benzamide,,,
258.0520528,C14H13ClN2O2,56488.58732,,Disperse Dye Intermediate,6,1,,,,
215.9817301,C6H4ClN3O4,205087.0243,,Disperse Dye Intermediate,6,2,"2-chloro-4,6-dinitroaniline",,,
216.9658508,C6H3ClN2O5,113158.9502,,Disperse Dye Intermediate,6,3,,,,
624.9060465,C13H24Cl6O8P2,18605.41146,,Chlorinated Organophosphate Flame Retardant,7,1,[2-[bis(2-chloroethoxy)phosphoryloxymethyl]-3-chloro-2-(chloromethyl)propyl] bis(2-chloroethyl) phosphate,,,
464.8502401,C9H15Cl6O4P,3243165.09,,Chlorinated Organophosphate Flame Retardant,7,2,,,,
305.0948079,C16H17ClO,76291.05778,,Chlorinated Diphenyl Ether (CDPE),8,1,,,,
317.0644023,C14H18Cl2N2O2,135478.8278,,Diphenyl,9,1,4-(4-amino-3-methoxyphenyl)-2-methoxyaniline;hydron;dichloride ,,,
355.0719096,C14H21ClO6,290708.5606,,Chlorine-containing co-polymer,10,1,chloroethene;diethyl (Z)-but-2-enedioate;ethenyl acetate,,,
521.231547,C28H39ClO7,271469.7528,,Chlorine-containing co-polymer,10,2,2-(butoxymethyl)oxirane;2-(chloromethyl)oxirane;4-[2-(4-hydroxyphenyl)propan-2-yl]phenol;prop-2-enoic acid,,,
451.2042745,C28H35ClO4,51580.53792,,Chlorine-containing co-polymer,10,3,4-tert-butylphenol;2-(chloromethyl)oxirane;4-[2-(4-hydroxyphenyl)propan-2-yl]phenol  ,,,
541.2866414,C28H45ClN2O6,41733.2451,,Chlorine-containing co-polymer with BPA,11,1,3-[2-[2-(3-aminopropoxy)ethoxy]ethoxy]propan-1-amine;2-(chloromethyl)oxirane;4-[2-(4-hydroxyphenyl)propan-2-yl]phenol,,,
498.0594279,C27H24Cl2O4S,18576.61694,,Chlorine-containing co-polymer with BPA,11,2,"1,1'-Sulfonylbis(4-chlorobenzene), bisphenol A polymer",,,
457.1613159,C25H28ClNO5,11073.53378,,Chlorine-containing co-polymer with BPA,11,3,"p-Aminobenzoic acid, bisphenol A, (chloromethyl)oxirane polymer",,,
252.9830119,C12H8Cl2O2,1107486.054,Diclosan,Antibacterial,12,1,,,,Yellow
286.9440715,C12H7Cl3O2,287414.3045,Triclosan,Antibacterial,12,2,,,,Yellow
217.042511,C13H11ClO,67082.89235,Chlorophene,Fungicide,13,1,,,,
204.9576365,C6H4Cl2N2O2,62533.33911,Dichloran,Fungicide,13,2,,,,
424.2984517,C25H44ClNO2,1468197.343,,Disinfectant,14,1,,,,
266.0142619,C13H10ClNO,12195.2085,,Cancer Drug,15,1,"N,N-diphenylcarbamoyl chloride",,,
417.2200419,C24H33ClO,462818.4584,,"Dielectric Fluid, Refrigerator Lubricant",16,1,,,,
326.3061727,C22H45Cl,16288.15869,,Monochlorinated alkane,17,1,2-Chlorodocosane,,,
387.2709961,C21H39CrO6,21458.95071,,Chromium Salt,18,1,Chromium(3+) Heptanoate,,,
251.9754639,C9H9Cl2NO,482300.8563,,Unknown,19,1,"N-(2,6-dichloro-3-methylphenyl)acetamide",,,
264.1007487,C10H18ClNO2,322267.5059,,Unknown,19,2,"3-amino-2-hydroxy-4,4,6,6-tetramethylcyclohex-2-en-1-one;hydrochloride",,,
638.238505,C34H40Cl2N4O4,83377.95109,,Unknown,19,3,Unknown,,,
269.1311849,C15H23ClO2,81596.12871,,Unknown,19,4,"2-chloro-6-(hydroxymethyl)-4-(2,4,4-trimethylpentan-2-yl)phenol",,,
476.2221069,C26H35ClN2O4,74998.30689,,Unknown,19,5,"4-[2,4-bis(2-methylbutan-2-yl)phenoxy]-N-(4-chloro-3-nitrophenyl)butanamide",,,
452.3511963,C24H52ClNO4,66144.29285,,Unknown,19,6,Tetrahexylammonium perchlorate,,,
248.9963023,C9H9Cl2NO3,65233.55954,,Unknown,19,7,"1,3-dichloro-2-ethoxy-5-methyl-4-nitrobenzene",,,
265.0748291,C13H15ClN2O2,42422.12714,,Unknown,19,8,Unknown,,,
417.2653605,C19H44Cl2N2O3,22911.38428,,Unknown,19,9,[3-(2-ethylpentoxy)-2-[2-hydroxy-3-(trimethylazaniumyl)propoxy]propyl]-trimethylazanium;dichloride,,,
263.0899048,C12H14ClN5,20014.24817,,Unknown,19,10,Unknown,,,
360.1204732,C19H21ClN2O3,15496.42967,,Unknown,19,11,"1-[3-(dimethylamino)propylamino]-4-hydroxyanthracene-9,10-dione;hydrochloride",,,
369.9906616,C13H10ClN3O6S,10088.95248,,Unknown,19,12,"N-(4-chloro-2,6-dinitrophenyl)-4-methylbenzenesulfonamide",,,
