mz,minintensity,sampleID,IsUnique?,,Removed 10 unique m/z:,mz,minintensity,sampleID,,w/o duplicates:,mz,manual mz,formula,approx ppm,exact mass,actual ppm
102.092,97381.59375,2,FALSE,,,102.092,97381.59375,2,,,102.092,102.0917,C5H12ON,3.521,,
102.092,99633.96875,3,FALSE,,,102.092,99633.96875,3,,,102.128,102.128,C6H16N,2.682,,
102.092,27176.94922,4,FALSE,,,102.092,27176.94922,4,,,103.125,103.1249,C5H15N2,18.666,,
102.092,140711.1563,5,FALSE,,,102.092,140711.1563,5,,,103.131,101.1313,C5H15N2,80.722,,
102.092,71716.77344,6,FALSE,,,102.092,71716.77344,6,,,103.134,103.1342,C6H17N,-13.101,,
102.092,95206.21094,7,FALSE,,,102.092,95206.21094,7,,,104.128,104.1285,C5H16N2,-22.089,,
102.092,58090.65625,8,FALSE,,,102.092,58090.65625,8,,,110.02,,,,,
102.092,134414.1563,9,FALSE,,,102.092,134414.1563,9,,,111.02,,,,,
102.092,156502.3906,10,FALSE,,,102.092,156502.3906,10,,,116.107,,,,,
102.092,48575.09375,11,FALSE,,,102.092,48575.09375,11,,,118.123,,,,,
102.128,16278409,1,FALSE,,,102.128,16278409,1,,,119.126,,,,,
102.128,11246974,2,FALSE,,,102.128,11246974,2,,,122.096,,,,,
102.128,13009593,3,FALSE,,,102.128,13009593,3,,,124.087,,,,,
102.128,5381580,4,FALSE,,,102.128,5381580,4,,,130.159,,,,,
102.128,76048400,5,FALSE,,,102.128,76048400,5,,,131.533,,,,,
102.128,8926669,6,FALSE,,,102.128,8926669,6,,,139.075,,,,,
102.128,20343468,7,FALSE,,,102.128,20343468,7,,,144.982,,,,,
102.128,14999499,8,FALSE,,,102.128,14999499,8,,,146.98,,,,,
102.128,37634228,9,FALSE,,,102.128,37634228,9,,,195.087,,,,,
102.128,25281824,10,FALSE,,,102.128,25281824,10,,,239.224,,,,,
102.128,15323998,11,FALSE,,,102.128,15323998,11,,,241.221,,,,,
103.125,79287.91406,1,FALSE,,,103.125,79287.91406,1,,,242.225,,,,,
103.125,32679.98633,2,FALSE,,,103.125,32679.98633,2,,,266.243,,,,,
103.125,40383.30078,3,FALSE,,,103.125,40383.30078,3,,,,,,,,
103.125,16888.76953,4,FALSE,,,103.125,16888.76953,4,,,,,,,,
103.125,297038.3125,5,FALSE,,,103.125,297038.3125,5,,,,,,,,
103.125,37571.67188,6,FALSE,,,103.125,37571.67188,6,,,,,,,,
103.125,65541.20313,7,FALSE,,,103.125,65541.20313,7,,,,,,,,
103.125,74067.75781,8,FALSE,,,103.125,74067.75781,8,,,,,,,,
103.125,152452.2031,9,FALSE,,,103.125,152452.2031,9,,,,,,,,
103.125,101102,10,FALSE,,,103.125,101102,10,,,,,,,,
103.125,52222.34766,11,FALSE,,,103.125,52222.34766,11,,,,,,,,
103.131,1519922.5,1,FALSE,,,103.131,1519922.5,1,,,,,,,,
103.131,880738.375,2,FALSE,,,103.131,880738.375,2,,,,,,,,
103.131,824097.125,3,FALSE,,,103.131,824097.125,3,,,,,,,,
103.131,387146,4,FALSE,,,103.131,387146,4,,,,,,,,
103.131,6088734,5,FALSE,,,103.131,6088734,5,,,,,,,,
103.131,713329.125,6,FALSE,,,103.131,713329.125,6,,,,,,,,
103.131,1526501.625,7,FALSE,,,103.131,1526501.625,7,,,,,,,,
103.131,1093004.25,8,FALSE,,,103.131,1093004.25,8,,,,,,,,
103.131,2929296.5,9,FALSE,,,103.131,2929296.5,9,,,,,,,,
103.131,2121390.5,10,FALSE,,,103.131,2121390.5,10,,,,,,,,
103.131,1218058.75,11,FALSE,,,103.131,1218058.75,11,,,,,,,,
103.134,34030.74219,2,FALSE,,,103.134,34030.74219,2,,,,,,,,
103.134,49353.30078,3,FALSE,,,103.134,49353.30078,3,,,,,,,,
103.134,19374.33008,4,FALSE,,,103.134,19374.33008,4,,,,,,,,
103.134,224222.2969,5,FALSE,,,103.134,224222.2969,5,,,,,,,,
103.134,29381.01953,6,FALSE,,,103.134,29381.01953,6,,,,,,,,
103.134,40046.88281,7,FALSE,,,103.134,40046.88281,7,,,,,,,,
103.134,34677.47656,8,FALSE,,,103.134,34677.47656,8,,,,,,,,
103.134,93204.17188,9,FALSE,,,103.134,93204.17188,9,,,,,,,,
103.134,60891.79688,10,FALSE,,,103.134,60891.79688,10,,,,,,,,
103.134,44778.54688,11,FALSE,,,103.134,44778.54688,11,,,,,,,,
104.128,19448.88867,2,FALSE,,,104.128,19448.88867,2,,,,,,,,
104.128,19199.81445,3,FALSE,,,104.128,19199.81445,3,,,,,,,,
104.128,16370.91797,4,FALSE,,,104.128,16370.91797,4,,,,,,,,
104.128,4631.816895,5,FALSE,,,104.128,4631.816895,5,,,,,,,,
104.128,14935.64258,6,FALSE,,,104.128,14935.64258,6,,,,,,,,
104.128,18574.46094,7,FALSE,,,104.128,18574.46094,7,,,,,,,,
104.128,8429.547852,8,FALSE,,,104.128,8429.547852,8,,,,,,,,
104.128,20196.35156,10,FALSE,,,104.128,20196.35156,10,,,,,,,,
104.135,17922.06055,11,TRUE,,,110.02,396752.5625,2,,,,,,,,
109.022,78001.84375,2,TRUE,,,110.02,287985.6875,3,,,,,,,,
110.02,396752.5625,2,FALSE,,,111.02,102711.2344,2,,,,,,,,
110.02,287985.6875,3,FALSE,,,111.02,98378.54688,3,,,,,,,,
111.02,102711.2344,2,FALSE,,,116.107,56488.45703,1,,,,,,,,
111.02,98378.54688,3,FALSE,,,116.107,103726.8906,2,,,,,,,,
116.107,56488.45703,1,FALSE,,,116.107,59098.16406,3,,,,,,,,
116.107,103726.8906,2,FALSE,,,116.107,52711.25391,4,,,,,,,,
116.107,59098.16406,3,FALSE,,,116.107,110109.8516,5,,,,,,,,
116.107,52711.25391,4,FALSE,,,116.107,78875.66406,6,,,,,,,,
116.107,110109.8516,5,FALSE,,,116.107,64806.17578,7,,,,,,,,
116.107,78875.66406,6,FALSE,,,116.107,52202.49219,8,,,,,,,,
116.107,64806.17578,7,FALSE,,,116.107,95137.05469,9,,,,,,,,
116.107,52202.49219,8,FALSE,,,116.107,75557.21875,10,,,,,,,,
116.107,95137.05469,9,FALSE,,,116.107,50988.56641,11,,,,,,,,
116.107,75557.21875,10,FALSE,,,118.123,545978.5625,2,,,,,,,,
116.107,50988.56641,11,FALSE,,,118.123,299391.5938,3,,,,,,,,
118.123,545978.5625,2,FALSE,,,118.123,356339.3125,4,,,,,,,,
118.123,299391.5938,3,FALSE,,,118.123,1061458.125,5,,,,,,,,
118.123,356339.3125,4,FALSE,,,118.123,339099.0625,6,,,,,,,,
118.123,1061458.125,5,FALSE,,,118.123,781207.3125,7,,,,,,,,
118.123,339099.0625,6,FALSE,,,118.123,289832.7188,8,,,,,,,,
118.123,781207.3125,7,FALSE,,,118.123,740285.5625,9,,,,,,,,
118.123,289832.7188,8,FALSE,,,118.123,456084.25,10,,,,,,,,
118.123,740285.5625,9,FALSE,,,118.123,753059.375,11,,,,,,,,
118.123,456084.25,10,FALSE,,,119.126,44619.13672,1,,,,,,,,
118.123,753059.375,11,FALSE,,,119.126,21032.33594,2,,,,,,,,
119.126,44619.13672,1,FALSE,,,119.126,22153.91211,3,,,,,,,,
119.126,21032.33594,2,FALSE,,,119.126,17108.06055,4,,,,,,,,
119.126,22153.91211,3,FALSE,,,119.126,43553.76172,5,,,,,,,,
119.126,17108.06055,4,FALSE,,,119.126,15718.83203,6,,,,,,,,
119.126,43553.76172,5,FALSE,,,119.126,50266.27344,7,,,,,,,,
119.126,15718.83203,6,FALSE,,,119.126,23623.04883,8,,,,,,,,
119.126,50266.27344,7,FALSE,,,119.126,42042.47266,9,,,,,,,,
119.126,23623.04883,8,FALSE,,,119.126,12611.56348,10,,,,,,,,
119.126,42042.47266,9,FALSE,,,119.126,39106.24609,11,,,,,,,,
119.126,12611.56348,10,FALSE,,,122.096,78782.75781,1,,,,,,,,
119.126,39106.24609,11,FALSE,,,122.096,126439.3125,2,,,,,,,,
122.096,78782.75781,1,FALSE,,,122.096,145829.25,3,,,,,,,,
122.096,126439.3125,2,FALSE,,,122.096,109031.2109,4,,,,,,,,
122.096,145829.25,3,FALSE,,,122.096,108207.8828,5,,,,,,,,
122.096,109031.2109,4,FALSE,,,122.096,113436.5156,6,,,,,,,,
122.096,108207.8828,5,FALSE,,,122.096,144725.5,9,,,,,,,,
122.096,113436.5156,6,FALSE,,,122.096,172181.4531,10,,,,,,,,
122.096,144725.5,9,FALSE,,,122.096,141396.375,11,,,,,,,,
122.096,172181.4531,10,FALSE,,,124.087,19958.66016,5,,,,,,,,
122.096,141396.375,11,FALSE,,,124.087,20232.34961,7,,,,,,,,
124.087,19958.66016,5,FALSE,,,124.087,19958.17188,8,,,,,,,,
124.087,20232.34961,7,FALSE,,,124.087,15591.03223,9,,,,,,,,
124.087,19958.17188,8,FALSE,,,124.087,14772.30078,10,,,,,,,,
124.087,15591.03223,9,FALSE,,,124.087,20606.80469,11,,,,,,,,
124.087,14772.30078,10,FALSE,,,130.159,52621.71484,2,,,,,,,,
124.087,20606.80469,11,FALSE,,,130.159,32938.18359,3,,,,,,,,
130.159,52621.71484,2,FALSE,,,130.159,61463.88281,4,,,,,,,,
130.159,32938.18359,3,FALSE,,,130.159,80212.29688,5,,,,,,,,
130.159,61463.88281,4,FALSE,,,130.159,36167.66406,6,,,,,,,,
130.159,80212.29688,5,FALSE,,,130.159,43657.76953,7,,,,,,,,
130.159,36167.66406,6,FALSE,,,130.159,56730.84375,8,,,,,,,,
130.159,43657.76953,7,FALSE,,,130.159,62327.69922,9,,,,,,,,
130.159,56730.84375,8,FALSE,,,130.159,12599.46973,10,,,,,,,,
130.159,62327.69922,9,FALSE,,,131.533,31401.52148,2,,,,,,,,
130.159,12599.46973,10,FALSE,,,131.533,31201.99609,3,,,,,,,,
131.533,31401.52148,2,FALSE,,,139.075,72982.53906,1,,,,,,,,
131.533,31201.99609,3,FALSE,,,139.075,260367.4688,2,,,,,,,,
136.021,80878.96094,5,TRUE,,,139.075,138761,3,,,,,,,,
138.995,45187.71875,2,TRUE,,,139.075,268967.7188,4,,,,,,,,
139.075,72982.53906,1,FALSE,,,139.075,257302.6094,5,,,,,,,,
139.075,260367.4688,2,FALSE,,,139.075,281859.7813,6,,,,,,,,
139.075,138761,3,FALSE,,,139.075,346697.5313,7,,,,,,,,
139.075,268967.7188,4,FALSE,,,139.075,320656.875,8,,,,,,,,
139.075,257302.6094,5,FALSE,,,139.075,251585.375,9,,,,,,,,
139.075,281859.7813,6,FALSE,,,139.075,186046.5938,10,,,,,,,,
139.075,346697.5313,7,FALSE,,,139.075,211714.875,11,,,,,,,,
139.075,320656.875,8,FALSE,,,144.982,489310.625,2,,,,,,,,
139.075,251585.375,9,FALSE,,,144.982,325755.9063,3,,,,,,,,
139.075,186046.5938,10,FALSE,,,144.982,286938.25,4,,,,,,,,
139.075,211714.875,11,FALSE,,,144.982,296631.5,5,,,,,,,,
144.982,489310.625,2,FALSE,,,144.982,210130.6563,6,,,,,,,,
144.982,325755.9063,3,FALSE,,,144.982,280107.2188,7,,,,,,,,
144.982,286938.25,4,FALSE,,,144.982,210238.2656,8,,,,,,,,
144.982,296631.5,5,FALSE,,,144.982,305550.4688,9,,,,,,,,
144.982,210130.6563,6,FALSE,,,144.982,216225.8281,10,,,,,,,,
144.982,280107.2188,7,FALSE,,,144.982,236114.3125,11,,,,,,,,
144.982,210238.2656,8,FALSE,,,146.98,257572.7813,2,,,,,,,,
144.982,305550.4688,9,FALSE,,,146.98,114983.5625,3,,,,,,,,
144.982,216225.8281,10,FALSE,,,146.98,74660.625,4,,,,,,,,
144.982,236114.3125,11,FALSE,,,146.98,92255.5,5,,,,,,,,
145.985,23476.66602,2,TRUE,,,146.98,95940.97656,6,,,,,,,,
146.98,257572.7813,2,FALSE,,,146.98,76736.77344,7,,,,,,,,
146.98,114983.5625,3,FALSE,,,146.98,63736.47266,8,,,,,,,,
146.98,74660.625,4,FALSE,,,146.98,72724.33594,9,,,,,,,,
146.98,92255.5,5,FALSE,,,146.98,80686.10156,10,,,,,,,,
146.98,95940.97656,6,FALSE,,,146.98,85980.76563,11,,,,,,,,
146.98,76736.77344,7,FALSE,,,195.087,118195.2266,1,,,,,,,,
146.98,63736.47266,8,FALSE,,,195.087,160502.7344,2,,,,,,,,
146.98,72724.33594,9,FALSE,,,195.087,218621.4219,3,,,,,,,,
146.98,80686.10156,10,FALSE,,,195.087,112977.3047,4,,,,,,,,
146.98,85980.76563,11,FALSE,,,195.087,167965.0625,5,,,,,,,,
154.99,60434.23438,2,TRUE,,,195.087,86204.54688,6,,,,,,,,
158.096,47295.96875,1,TRUE,,,195.087,139192.3594,8,,,,,,,,
182.985,151638.1563,2,TRUE,,,195.087,70644.6875,9,,,,,,,,
195.087,118195.2266,1,FALSE,,,239.224,1133153.375,1,,,,,,,,
195.087,160502.7344,2,FALSE,,,239.224,2851730.25,3,,,,,,,,
195.087,218621.4219,3,FALSE,,,239.224,3655021.5,4,,,,,,,,
195.087,112977.3047,4,FALSE,,,239.224,1889390.25,5,,,,,,,,
195.087,167965.0625,5,FALSE,,,239.224,2687496,6,,,,,,,,
195.087,86204.54688,6,FALSE,,,239.224,2900059.25,8,,,,,,,,
195.087,139192.3594,8,FALSE,,,241.221,380692.5938,1,,,,,,,,
195.087,70644.6875,9,FALSE,,,241.221,1110773.25,3,,,,,,,,
239.224,1133153.375,1,FALSE,,,241.221,1289407.625,4,,,,,,,,
239.224,2851730.25,3,FALSE,,,241.221,746979.8125,5,,,,,,,,
239.224,3655021.5,4,FALSE,,,241.221,1105873,6,,,,,,,,
239.224,1889390.25,5,FALSE,,,241.221,975750.1875,8,,,,,,,,
239.224,2687496,6,FALSE,,,241.221,1035481.625,9,,,,,,,,
239.224,2900059.25,8,FALSE,,,242.225,12447.91406,10,,,,,,,,
240.228,150972.2031,11,TRUE,,,242.225,61618.0625,11,,,,,,,,
241.221,380692.5938,1,FALSE,,,266.243,131903.125,1,,,,,,,,
241.221,1110773.25,3,FALSE,,,266.243,40895.60938,2,,,,,,,,
241.221,1289407.625,4,FALSE,,,266.243,52817.02734,3,,,,,,,,
241.221,746979.8125,5,FALSE,,,266.243,25167.87695,4,,,,,,,,
241.221,1105873,6,FALSE,,,266.243,23717.20313,5,,,,,,,,
241.221,975750.1875,8,FALSE,,,266.243,28565.00781,9,,,,,,,,
241.221,1035481.625,9,FALSE,,,,,,,,,,,,,
242.225,12447.91406,10,FALSE,,,,,,,,,,,,,
242.225,61618.0625,11,FALSE,,,,,,,,,,,,,
266.243,131903.125,1,FALSE,,,,,,,,,,,,,
266.243,40895.60938,2,FALSE,,,,,,,,,,,,,
266.243,52817.02734,3,FALSE,,,,,,,,,,,,,
266.243,25167.87695,4,FALSE,,,,,,,,,,,,,
266.243,23717.20313,5,FALSE,,,,,,,,,,,,,
266.243,28565.00781,9,FALSE,,,,,,,,,,,,,
317.24,50486.95313,6,TRUE,,,,,,,,,,,,,
